,index,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,0,2018-01-02,6502,6661,6455,6512,108050,,6512.0,6512.0,6512.0,100.0,100.0,100.0,,,,6489.666666666667,0.0,0.0,,,0.0,-100
1,1,2018-01-03,6482,6585,6445,6588,142125,1.153612629022465,6550.0,6550.0,6550.0,100.58015267175573,100.58015267175573,100.58015267175573,53.74011537017761,6657.480230740355,6442.519769259645,6505.0,924523125.0,0.0,,,0.0,-100
2,2,2018-01-04,6585,6632,6492,6550,80194,-0.5801526717557252,6550.0,6550.0,6550.0,100.0,100.0,100.0,38.0,6626.0,6474.0,6542.333333333333,524655879.0,0.0,,,0.0,-100
3,3,2018-01-05,6595,6782,6568,6756,175449,3.049141503848431,6601.5,6601.5,6601.5,102.34037718700296,102.34037718700296,102.34037718700296,107.5716815275594,6816.643363055119,6386.356636944881,6639.666666666667,1164922877.0,0.0,,,0.0,-100
4,4,2018-01-08,6914,6914,6726,6764,158028,0.1182732111176818,6634.0,6634.0,6634.0,101.95960205004522,101.95960205004522,101.95960205004522,118.15244390193544,6870.304887803871,6397.695112196129,6801.333333333333,1074801104.0,0.0,,,0.0,-100
5,5,2018-01-09,6698,6922,6678,6681,124156,-1.2423289926657686,6667.8,6641.833333333333,6641.833333333333,100.19796634572124,100.58969661990918,100.58969661990918,107.40654852785592,6856.646430389045,6427.020236277621,6685.666666666667,0.0,830065630.0,,,0.0,-100
6,6,2018-01-10,6811,6922,6717,6877,172403,2.850079976734041,6725.6,6675.428571428572,6675.428571428572,102.25110027358151,103.0196028077384,103.0196028077384,132.34029008942207,6940.109151607416,6410.747991249727,6801.666666666667,1172627738.0,0.0,,,0.0,-100
7,7,2018-01-11,6922,6997,6811,6849,167931,-0.4088188056650605,6785.4,6697.125,6697.125,100.93730656998852,102.26776415252814,102.26776415252814,137.0322563694924,6971.189512738984,6423.060487261016,6860.666666666667,1152118614.0,0.0,,,0.0,-100
8,8,2018-01-12,6857,6914,6632,6737,206834,-1.662461036069467,6781.6,6701.555555555556,6701.555555555556,99.34233809130588,100.52889876313958,100.52889876313958,128.86922742756622,6959.294010410688,6443.817100700423,6742.0,0.0,1394474828.0,,,0.0,-100
9,9,2018-01-15,6735,6847,6632,6718,115238,-0.2828222685323013,6772.4,6703.2,6703.2,99.19673970822753,100.22079007041414,100.22079007041414,121.61030658076096,6946.420613161522,6459.979386838478,6695.0,0.0,771518410.0,,,0.0,-100
10,10,2018-01-16,6717,7007,6642,6943,258443,3.240674060204522,6824.8,6725.0,6725.0,101.73191888406986,103.24163568773234,103.24163568773234,136.15358974334833,6997.307179486696,6452.692820513304,6767.333333333333,1748969928.0,0.0,,,0.0,-100
11,11,2018-01-17,6942,6997,6801,6924,122283,-0.2744078567302138,6834.2,6741.583333333333,6741.583333333333,101.31397969038072,102.7058430882953,102.7058430882953,141.95995487417852,7025.50324308169,6457.663423584976,6889.0,842407587.0,0.0,,,0.0,-100
12,12,2018-01-18,6970,7194,6932,7121,305542,2.7664653840752704,6888.6,6770.769230769231,6770.769230769231,103.37368986441366,105.17268802544876,105.17268802544876,171.89199799397005,7114.553226757171,6426.98523478129,7007.666666666667,2141136488.0,0.0,,,1.0,-100
13,13,2018-01-19,7063,7185,7007,7065,124672,-0.7926397735314932,6954.2,6791.785714285715,6791.785714285715,101.59328175778666,104.02271651680076,104.02271651680076,182.91451495225803,7157.61474419023,6425.956684381199,7045.0,878314240.0,0.0,3.87992295617337,79.50787319838841,0.0,-100
14,14,2018-01-22,7072,7110,6914,6924,134724,-2.036395147313692,6995.4,6800.6,6800.6,98.9793292735226,101.81454577537276,101.81454577537276,179.53622793981495,7159.67245587963,6441.52754412037,6970.0,0.0,939026280.0,2.954059986709085,74.70953897104916,0.0,-100
15,15,2018-01-23,6932,7118,6932,6962,106550,0.5458201666187876,6999.2,6810.6875,6810.6875,99.46851068693564,102.22169200980078,102.22169200980078,178.08002648622164,7166.847552972444,6454.527447027556,6942.0,0.0,739670100.0,2.288880141816571,69.59451372868631,0.0,-100
16,16,2018-01-24,6988,7017,6914,6990,103735,0.4005722460658082,7012.4,6821.235294117647,6821.235294117647,99.68056585477156,102.47410767413184,102.47410767413184,177.82524054945256,7176.885775216552,6465.584813018741,6964.0,722410540.0,0.0,2.331182818750215,69.98063287396585,0.0,-100
17,17,2018-01-25,6988,7268,6914,7204,234798,2.9705719044975014,7029.0,6842.5,6842.5,102.48968558827714,105.28315674095724,105.28315674095724,194.6820182638711,7231.864036527742,6453.135963472258,7035.333333333333,1651882196.0,0.0,2.435350693465866,70.89089035649175,0.0,-100
18,18,2018-01-26,7251,7390,7156,7251,269004,0.6481864570404082,7066.2,6864.0,6864.0,102.615267045937,105.6381118881119,105.6381118881119,211.1355541405151,7286.27110828103,6441.72889171897,7219.333333333333,1942029544.0,0.0,2.620863815328456,72.38228083125827,0.0,-100
19,19,2018-01-29,7297,7315,7082,7158,178400,-1.2992455993294216,7113.0,6878.7,6878.7,100.63264445381694,104.06036024248768,104.06036024248768,215.76329622991992,7310.22659245984,6447.17340754016,7179.0,0.0,1280733600.0,2.3904166258841806,70.50509980497716,0.0,-100
20,20,2018-01-30,7156,7204,7017,7121,150495,-0.5195899452324112,7144.8,6909.15,6890.238095238095,99.66689060575524,103.0662237757177,103.349113652856,203.9373678363047,7317.024735672609,6501.275264327391,7098.0,0.0,1068213510.0,1.7888148148749483,64.14247390446252,0.0,-100
21,21,2018-01-31,7101,7185,7017,7102,79139,-0.2675302731624894,7167.2,6934.85,6899.863636363636,99.09030025672509,102.41029005674238,102.92957041311752,193.45372763749583,7321.757455274992,6547.942544725009,7073.333333333333,0.0,559776526.0,1.4699456629757135,59.51327938140829,0.0,-100
22,22,2018-02-01,7128,7148,6950,7093,106804,-0.126885661920203,7145.0,6962.0,6908.260869565217,99.27221833449966,101.88164320597532,102.67417710365665,173.6939231734053,7309.387846346811,6614.612153653189,7057.0,0.0,753715828.0,1.6240327213834922,61.89071912667457,0.0,-100
23,23,2018-02-02,7091,7128,6782,6877,146092,-3.1409044641558816,7070.2,6968.05,6906.958333333333,97.26740403383214,98.69332166100988,99.56625866426974,168.16016018571295,7304.370320371426,6631.729679628575,6916.666666666667,0.0,1010469666.0,1.5629356242875354,60.982242763979386,0.0,-100
24,24,2018-02-05,6764,6764,6661,6708,126327,-2.5193798449612403,6980.2,6965.25,6899.0,96.10039826939057,96.30666523096802,97.23148282359764,172.1553383613654,7309.560676722731,6620.939323277269,6711.0,0.0,847780497.0,1.1359552866103182,53.18254055837644,0.0,-100
25,25,2018-02-06,6502,6698,6324,6652,176536,-0.841852074564041,6886.4,6963.8,6889.5,96.59618959107809,95.5225595221,96.5527251614776,174.77763315891423,7313.355266317829,6614.244733682172,6492.666666666667,0.0,1146189402.0,0.8790014646670122,46.78024371964951,0.0,-100
26,26,2018-02-07,6782,6782,6511,6550,91135,-1.5572519083969465,6776.0,6947.45,6876.925925925926,96.6646989374262,94.27919596398678,95.2460455522224,197.1837174339022,7341.817434867804,6553.082565132196,6614.333333333333,602797268.0,0.0,0.6946715479615649,40.99151536456433,1.0,-100
27,27,2018-02-08,6548,6671,6548,6644,42091,1.4148103552077065,6686.2,6937.2,6868.607142857143,99.36884927163412,95.77351092659865,96.72994628771688,207.6225319888812,7352.445063977762,6521.954936022237,6580.0,0.0,276958780.0,0.5704958009068208,36.3258405770592,0.0,-100
28,28,2018-02-09,6455,6595,6455,6550,69004,-1.4351145038167938,6620.8,6927.85,6857.620689655172,98.93064282261962,94.54592694703264,95.5141775321691,220.89894688939185,7369.647893778784,6486.0521062212165,6486.666666666667,0.0,447605946.0,0.60497487007578,37.69372850350085,0.0,-100
29,29,2018-02-12,6548,6764,6529,6708,50190,2.3553965414430533,6620.8,6927.35,6852.633333333333,101.31706138231029,96.83356550484672,97.88937586037486,221.40966436378625,7370.169328727573,6484.530671272428,6595.0,331003050.0,0.0,0.7102973075386677,41.53063355755816,0.0,-100
30,30,2018-02-13,6708,6764,6314,6550,90592,-2.412213740458016,6600.4,6907.7,6842.870967741936,99.23640991455063,94.82172068850704,95.7200571350452,236.84863031947367,7381.397260638947,6434.002739361053,6524.0,0.0,591022208.0,0.5672071862237391,36.19222724408584,0.0,-100
31,31,2018-02-14,6529,6688,6427,6691,33435,2.1073083246151545,6628.6,6896.05,6838.125,100.94137525269286,97.02655868214411,97.84845992139658,241.685632044692,7379.421264089384,6412.6787359106165,6549.0,218965815.0,0.0,0.3876992011422122,27.93827371400789,0.0,-100
32,32,2018-02-19,6754,6829,6661,6737,52327,0.6827964969571025,6647.2,6876.85,6835.060606060606,101.3509447586954,97.96636541439756,98.56532938459014,238.1008797702529,7353.051759540506,6400.648240459494,6717.333333333333,351497901.0,0.0,0.1884460317115667,15.856507294670507,0.0,-100
33,33,2018-02-20,6811,6811,6661,6661,41563,-1.140969824350698,6669.4,6856.65,6829.941176470588,99.87405163882808,97.14656574274608,97.52646220361902,238.4355313949219,7333.521062789843,6379.778937210156,6711.0,0.0,278929293.0,0.2154901796031124,17.728664798713154,0.0,-100
34,34,2018-02-21,6717,6970,6688,6849,151887,2.744926266608264,6697.6,6852.9,6830.4857142857145,102.26051122790253,99.9430897868056,100.2710537213417,237.9097352048944,7328.719470409788,6377.080529590211,6751.333333333333,1025439766.0,0.0,0.4278606319298449,29.965153626482703,0.0,-100
35,35,2018-02-22,6950,7324,6688,6831,684139,-0.2635046113306983,6753.8,6846.35,6830.5,101.1430602031449,99.77579294076403,100.0073201083376,236.54737480326327,7319.444749606527,6373.255250393474,6823.0,4667880397.0,0.0,1.344671354414228,57.35009948761748,0.0,-100
36,36,2018-02-23,6829,6885,6754,6821,56431,-0.1466060694912769,6779.8,6837.9,6830.243243243243,100.6076875424054,99.75284809663786,99.86467182918577,234.1521997154385,7306.204399430877,6369.595600569122,6801.333333333333,0.0,383806041.0,1.44449693528027,59.09178753438091,0.0,-100
