,index,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,0,2018-01-02,14850,14850,14800,14800,8,,14800.0,14800.0,14800.0,100.0,100.0,100.0,,,,14816.666666666666,0.0,0.0,,,0.0,-100
1,1,2018-01-03,15000,15200,14600,14950,4358,1.0033444816053512,14875.0,14875.0,14875.0,100.50420168067228,100.50420168067228,100.50420168067228,106.06601717798212,15087.132034355964,14662.867965644036,14850.0,64716300.0,0.0,,,0.0,-100
2,2,2018-01-04,14600,14900,14550,14550,3997,-2.7491408934707904,14766.666666666666,14766.666666666666,14766.666666666666,98.53273137697516,98.53273137697516,98.53273137697516,202.0725942163688,15170.811855099404,14362.521478233928,14566.666666666666,0.0,58222966.0,,,0.0,-100
3,3,2018-01-05,14650,14850,14500,14550,2021,0.0,14712.5,14712.5,14712.5,98.89549702633816,98.89549702633816,98.89549702633816,197.37865470544995,15107.2573094109,14317.7426905891,14566.666666666666,0.0,29439233.0,,,0.0,-100
4,4,2018-01-08,14300,14600,13950,14200,5740,-2.464788732394366,14610.0,14610.0,14610.0,97.1937029431896,97.1937029431896,97.1937029431896,285.9195691099158,15181.839138219832,14038.160861780168,14150.0,0.0,81221000.0,,,0.0,-100
5,5,2018-01-09,14000,14200,13850,14000,865,-1.4285714285714286,14450.0,14508.333333333334,14508.333333333334,96.88581314878893,96.496266513498,96.496266513498,356.954712346912,15222.242758027158,13794.42390863951,13950.0,0.0,12066750.0,,,0.0,-100
6,6,2018-01-10,14000,14000,13500,14000,6231,0.0,14260.0,14435.714285714286,14435.714285714286,98.17671809256662,96.98169223156852,96.98169223156852,378.2793122749884,15192.272910264262,13679.15566116431,13833.333333333334,0.0,86195500.0,,,0.0,-100
7,7,2018-01-11,14000,15400,14000,15250,13298,8.19672131147541,14400.0,14537.5,14537.5,105.90277777777776,104.9011177987962,104.9011177987962,453.3604683755679,15444.220936751137,13630.779063248863,14416.666666666666,191712833.0,0.0,,,0.0,-100
8,8,2018-01-12,15600,15600,14700,15300,4923,0.326797385620915,14550.0,14622.222222222224,14622.222222222224,105.15463917525774,104.6352583586626,104.6352583586626,494.4132324730442,15611.048687168312,13633.395757276134,15200.0,74829600.0,0.0,,,0.0,-100
9,9,2018-01-15,15600,16100,15050,15750,30526,2.857142857142857,14860.0,14735.0,14735.0,105.9892328398385,106.88836104513064,106.88836104513064,586.9175599879613,15908.835119975924,13561.164880024076,15466.666666666666,472135466.0,0.0,,,0.0,-100
