,index,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,0,2019-10-18,3570,4640,3570,4640,433,,4640.0,4640.0,4640.0,100.0,100.0,100.0,,,,3926.6666666666665,0.0,0.0,,,0.0,-100
1,1,2019-10-21,6030,6030,6030,6030,131,23.0514096185738,5335.0,5335.0,5335.0,113.02717900656046,113.02717900656046,113.02717900656046,982.878425849301,7300.756851698602,3369.243148301398,6030.0,789930.0,0.0,,,0.0,-100
2,2,2019-10-22,7830,7830,7830,7830,14,22.988505747126435,6166.666666666667,6166.666666666667,6166.666666666667,126.97297297297295,126.97297297297295,126.97297297297295,1599.3852985860951,9365.437263838858,2967.8960694944767,7830.0,109620.0,0.0,,,0.0,-100
3,3,2019-10-23,10150,10150,10150,10150,273,22.857142857142858,7162.5,7162.5,7162.5,141.71029668411867,141.71029668411867,141.71029668411867,2381.6153481758274,11925.730696351657,2399.269303648345,10150.0,2770950.0,0.0,,,0.0,-100
4,4,2019-10-24,13150,13150,13150,13150,304,22.81368821292776,8360.0,8360.0,8360.0,157.29665071770333,157.29665071770333,157.29665071770333,3379.9556210104297,15119.911242020858,1600.0887579791406,13150.0,3997600.0,0.0,,,0.0,-100
5,5,2019-10-25,17050,17050,17050,17050,293,22.87390029325513,10842.0,9808.333333333334,9808.333333333334,157.25880833794503,173.83177570093457,173.83177570093457,4661.040298760209,19130.413930853752,486.2527358129155,17050.0,4995650.0,0.0,,,0.0,-100
6,6,2019-10-28,0,0,0,17050,0,0.0,13046.0,10842.857142857143,10842.857142857143,130.69139966273187,157.2463768115942,157.2463768115942,5059.257897774186,20961.372938405515,724.3413473087712,5683.333333333333,0.0,0.0,,,0.0,-100
7,7,2019-10-29,22150,22150,22150,22150,680,23.024830699774267,15910.0,12256.25,12256.25,139.22061596480202,180.72412034676185,180.72412034676185,6157.99813830993,24572.24627661986,-59.74627661986051,22150.0,15062000.0,0.0,,,0.0,-100
8,8,2019-10-30,28400,28750,21050,28750,532247,22.95652173913044,19630.0,14088.888888888889,14088.888888888889,146.45950076413652,204.06151419558364,204.06151419558364,7962.908458039129,30014.705804967147,-1836.9280271893688,26066.666666666668,13873905133.0,0.0,,,0.0,-100
9,9,2019-10-31,0,0,0,28750,0,0.0,22750.0,15555.0,15555.0,126.37362637362637,184.82802957248472,184.82802957248472,8823.684352670121,33202.36870534024,-2092.3687053402427,9583.333333333334,0.0,0.0,,,0.0,-100
10,10,2019-11-01,31200,36400,29350,34000,480639,15.441176470588236,26140.0,17231.81818181818,17231.81818181818,130.06885998469778,197.3094170403588,197.3094170403588,10049.904296242645,37331.62677430347,-2867.990410667109,31516.666666666668,15148139150.0,0.0,,,0.0,-100
11,11,2019-11-04,35300,36800,28350,28350,347995,-19.929453262786595,28400.0,18158.33333333333,18158.33333333333,99.82394366197182,156.12666360715926,156.12666360715926,10105.43763015584,38369.20859364502,-2052.541926978349,30666.666666666668,0.0,10671846666.0,,,0.0,-100
12,12,2019-11-05,27100,27550,22150,23000,291943,-23.26086956521739,28570.0,18530.76923076923,18530.76923076923,80.50402520126006,124.11789124117892,124.11789124117892,9767.962480765424,38066.69419230008,-1005.1557307616168,24083.33333333333,0.0,7030960583.0,,,0.0,-100
13,13,2019-11-06,22800,25900,21350,24000,303947,4.166666666666666,27620.0,18921.42857142857,18921.42857142857,86.89355539464157,126.84031710079276,126.84031710079276,9497.906536254635,37917.24164393784,-74.38450108070174,22716.666666666668,0.0,6904662683.0,1.1805264870088554,54.13951603166475,0.0,-100
14,14,2019-11-07,23550,23550,20250,21350,136605,-12.412177985948478,26140.0,19083.33333333333,19083.33333333333,81.67559296097934,111.87772925764192,111.87772925764192,9173.867128710666,37431.06759075467,735.5990759119995,21716.666666666668,0.0,2966605250.0,1.053517473977271,51.30306838523312,0.0,-100
15,15,2019-11-08,20800,22850,20250,20850,150637,-2.3980815347721824,23510.0,19193.75,19193.75,88.68566567418121,108.6291110387496,108.6291110387496,8873.795786847175,36941.34157369435,1446.1584263056502,20633.33333333333,0.0,3108143433.0,0.9467692172950772,48.63284301415851,0.0,-100
16,16,2019-11-11,20650,22400,19800,19850,110751,-5.037783375314862,21810.0,19232.352941176472,19232.352941176472,91.0132966529115,103.21150022939288,103.21150022939288,8593.48992654597,36419.33279426841,2045.3730880845324,20100.0,0.0,2226095100.0,0.8827213309857072,46.8853949045956,0.0,-100
17,17,2019-11-12,20450,20500,18100,18700,74621,-6.149732620320856,20950.0,19202.777777777777,19202.777777777777,89.26014319809069,97.38174453927384,97.38174453927384,8337.854009103552,35878.48579598488,2527.0697595706733,19083.33333333333,0.0,1424017416.0,0.8460275948688245,45.82962883222456,0.0,-100
18,18,2019-11-13,18700,19350,17850,18650,60486,-0.2680965147453083,19880.0,19173.68421052632,19173.68421052632,93.81287726358148,97.26873455942903,97.26873455942903,8103.929918068088,35381.54404666249,2965.8243743901403,18400.0,0.0,1112942400.0,0.8193504814570026,45.03532935560809,0.0,-100
19,19,2019-11-14,18650,18900,17850,18600,51540,-0.2688172043010753,19330.0,19145.0,19145.0,96.22348680807036,97.15330373465656,97.15330373465656,7888.829210712414,34922.65842142483,3367.341578575172,18366.666666666668,0.0,946618000.0,0.7979004404941438,44.37956755129582,0.0,-100
20,20,2019-11-15,19900,21100,18500,19600,209556,5.1020408163265305,19080.0,19893.0,19166.666666666668,102.72536687631026,98.52712009249484,102.26086956521738,7112.1127958612,34117.2255917224,5668.774408277601,19333.33333333333,4051415999.0,0.0,0.909227877144389,47.622805429821774,0.0,-100
21,21,2019-11-18,20200,20400,18650,19050,68666,-2.8871391076115485,18920.0,20544.0,19161.36363636364,100.68710359408033,92.72780373831776,99.4188115288815,6329.18336796013,33202.36673592026,7885.633264079739,19300.0,0.0,1325253800.0,0.8768813225855849,46.72012620263045,0.0,-100
22,22,2019-11-19,18200,19300,17600,18050,57057,-5.540166204986149,18790.0,21055.0,19113.043478260868,96.06173496540713,85.72785561624318,94.43812556869882,5621.689669204632,32298.379338409264,9811.620661590736,17950.0,0.0,1024173150.0,0.4955834210551219,33.136461268438765,0.0,-100
23,23,2019-11-20,17550,18150,16900,17000,28829,-6.176470588235294,18460.0,21397.5,19025.0,92.09100758396534,79.4485337072088,89.35611038107753,5107.488696950161,31612.47739390032,11182.522606099676,17150.0,0.0,494417350.0,0.4893384753047121,32.85609573771305,0.0,-100
24,24,2019-11-21,17100,17300,15700,15900,32210,-6.918238993710692,17920.0,21535.0,18900.0,88.72767857142857,73.83329463663803,84.12698412698413,4906.845379563873,31348.69075912775,11721.309240872251,16233.333333333334,0.0,522875666.0,0.1019003392335695,9.247691066548429,0.0,-100
25,25,2019-11-22,15550,15900,15050,15650,22456,-1.5974440894568689,17130.0,21465.0,18775.0,91.36018680677176,72.90938737479618,83.3555259653795,4983.580936171137,31432.16187234228,11497.838127657726,15416.666666666666,0.0,346196666.0,0.1376489416266503,12.099421586929536,0.0,-100
26,26,2019-11-25,15950,16750,15550,16250,16074,3.692307692307693,16570.0,21425.0,18681.48148148148,98.06879903439952,75.84597432905484,86.98453608247422,5023.929579627147,31472.85915925429,11377.140840745706,15916.666666666666,255844500.0,0.0,0.1922712402135562,16.126468015710685,0.0,-100
