,index,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,0,2021-01-25,106500,106500,82000,87700,661571,,87700.0,87700.0,87700.0,100.0,100.0,100.0,,,,92066.66666666669,0.0,0.0,,,0.0,-100
1,1,2021-01-26,88300,89200,81000,81000,209696,-8.271604938271606,84350.0,84350.0,84350.0,96.0284528749259,96.0284528749259,96.0284528749259,4737.615433949868,93825.23086789974,74874.76913210026,83433.33333333333,0.0,17495636266.0,,,0.0,-100
2,2,2021-01-27,82300,83600,76800,77700,94791,-4.247104247104247,82133.33333333333,82133.33333333333,82133.33333333333,94.60227272727272,94.60227272727272,94.60227272727272,5095.422782589617,92324.17889851256,71942.4877681541,78933.33333333333,0.0,7482169600.0,,,0.0,-100
3,3,2021-01-28,74600,80200,73600,75900,89069,-2.371541501976284,80575.0,80575.0,80575.0,94.19795221843005,94.19795221843005,94.19795221843005,5198.317035349035,90971.63407069808,70178.36592930193,74700.0,0.0,6653454300.0,,,0.0,-100
4,4,2021-01-29,76400,79000,70000,72300,79881,-4.979253112033195,78920.0,78920.0,78920.0,91.61175874303092,91.61175874303092,91.61175874303092,5827.692510762728,90575.38502152544,67264.61497847455,72900.0,0.0,5823324900.0,,,0.0,-100
5,5,2021-02-01,71500,76100,71400,75900,54590,4.743083003952568,76560.0,78416.66666666667,78416.66666666667,99.13793103448276,96.7906482465462,96.7906482465462,5356.273580267037,89129.21382720074,67704.1195061326,72933.33333333333,3981430666.0,0.0,,,0.0,-100
6,6,2021-02-02,76300,79000,76200,76900,61409,1.3003901170351104,75740.0,78200.0,78200.0,101.53155532083444,98.3375959079284,98.3375959079284,4923.074919871387,88046.14983974278,68353.85016025722,76466.66666666667,4695741533.0,0.0,,,0.0,-100
7,7,2021-02-03,77900,79000,76500,78100,58671,1.5364916773367476,75820.0,78187.5,78187.5,103.00712213136376,99.8880895283773,99.8880895283773,4558.018836543538,87303.53767308708,69071.46232691292,77500.0,4547002500.0,0.0,,,0.0,-100
8,8,2021-02-04,79400,80200,77000,77800,56016,-0.3856041131105398,76200.0,78144.44444444444,78144.44444444444,102.0997375328084,99.55922081615245,99.55922081615245,4265.592312654571,86675.62906975357,69613.2598191353,78066.66666666667,4372982400.0,0.0,,,0.0,-100
9,9,2021-02-05,76700,77700,75600,76600,18355,-1.5665796344647518,77060.0,77990.0,77990.0,99.4030625486634,98.2177202205411,98.2177202205411,4051.186383161247,86092.3727663225,69887.6272336775,76300.0,0.0,1400486500.0,,,0.0,-100
