,index,날짜,시가,고가,저가,종가,거래량,거래대금,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch
0,0,2001-01-02,502.5,559.6,502.5,557.0,201214955,689003391340,,557.0,557.0,557.0,100.0,100.0,100.0,,,,520.6666666666666,0,0,,,0
1,1,2001-01-03,545.8,579.9,539.3,569.0,284994091,1010438352560,2.10896309314587,563.0,563.0,563.0,101.06571936056838,101.06571936056838,101.06571936056838,8.48528137423857,579.9705627484772,546.0294372515228,551.3666666666667,157136241974,0,,,0
2,2,2001-01-04,617.7,621.5,609.0,615.1,233125185,948946215570,7.494716306291663,580.3666666666667,580.3666666666667,580.3666666666667,105.984722301993,105.984722301993,105.984722301993,30.672517557796493,641.7117017822596,519.0216315510737,613.9333333333334,143123321911,0,,,0
3,3,2001-01-05,614.5,630.7,602.5,625.2,367229624,1391124315810,1.6154830454254674,591.575,591.575,591.575,105.68397920804631,105.68397920804631,105.68397920804631,33.611146464627886,658.7972929292558,524.3527070707443,614.0666666666667,225503471110,0,,,0
4,4,2001-01-08,614.9,657.0,614.0,650.0,358615172,1439983980440,3.8153846153846085,603.26,603.26,603.26,107.74790306004046,107.74790306004046,107.74790306004046,39.11493320970906,681.4898664194181,525.0301335805818,626.3000000000001,224600682223,0,,,0
5,5,2001-01-09,660.6,678.2,650.4,678.2,457143512,1799807781980,4.158065467413748,627.5,615.75,615.75,108.0796812749004,110.14210312626878,110.14210312626878,46.47561726324893,708.7012345264978,522.7987654735022,663.0666666666667,303116624690,0,,,0
6,6,2001-01-10,688.6,730.5,639.6,639.6,697320763,3008605246620,-6.035021888680428,641.6200000000001,619.157142857143,619.157142857143,99.68517190860634,103.30172354121963,103.30172354121963,43.373335016761075,705.9038128906651,532.4104728236208,655.9333333333334,0,457395932477,,,0
7,7,2001-01-11,657.2,675.4,631.9,675.1,477200664,1985095802920,5.258480225151829,653.6200000000001,626.15,626.15,103.28631314831247,107.81761558731935,107.81761558731935,44.762675778567406,715.6753515571348,536.6246484428651,654.7333333333332,0,312439181409,,,0
8,8,2001-01-12,703.0,732.9,699.0,713.6,502828986,2126559476140,5.395179372197309,671.3,635.8666666666667,635.8666666666667,106.30120661403248,112.22478507024533,112.22478507024533,51.0191875670321,737.9050418007308,533.8282915326025,705.1999999999999,354595000927,0,,,0
9,9,2001-01-15,745.7,772.4,745.7,765.2,518930216,2271901479670,6.74333507579718,694.3399999999999,648.8,648.8,110.20537488838322,117.940813810111,117.940813810111,63.13834897359224,775.0766979471845,522.5233020528154,752.2000000000002,390339308475,0,,,0
10,10,2001-01-16,776.9,790.2,757.4,777.1,630292526,3479285529010,1.531334448590912,714.1200000000001,660.4636363636364,660.4636363636364,108.81924606508709,117.65977068450538,117.65977068450538,71.30393078543813,803.0714979345126,517.8557747927601,770.4666666666667,485619381532,0,,,0
11,11,2001-01-17,766.0,780.5,732.2,750.1,572086333,3271507633380,-3.5995200639914673,736.22,667.9333333333334,667.9333333333334,101.88530602265627,112.30162690887313,112.30162690887313,72.74340124191632,813.420135817166,522.4465308495007,749.4333333333334,0,428740567494,,,0
12,12,2001-01-18,755.7,777.1,745.2,745.6,504646747,2833367609800,-0.6035407725321889,750.3199999999999,673.9076923076924,673.9076923076924,99.37093506770445,110.6382978723404,110.6382978723404,72.90160562404719,819.7109035557868,528.104481059598,748.8333333333334,0,377896305711,,,0
13,13,2001-01-19,769.3,775.9,753.7,772.1,535853440,3005126131760,3.432197901826188,762.0200000000001,680.9214285714286,680.9214285714286,101.3227999265111,113.39046879753276,113.39046879753276,74.79652581988873,830.5144802112061,531.3283769316511,765.0333333333333,409945743381,0,1.708866252164805,63.08418700255708,0
14,14,2001-01-22,793.8,834.2,792.1,833.2,483998317,2583840557920,7.333173307729239,775.6200000000001,691.0733333333334,691.0733333333334,107.42373842861195,120.56607595913601,120.56607595913601,82.10255317647098,855.2784396862753,526.8682269803915,806.3666666666668,390280109551,0,1.9564317736246364,66.175441323512,0
15,15,2001-01-26,837.4,854.6,794.8,800.4,499793075,3080399387640,-4.097951024487765,780.28,697.90625,697.90625,102.57856154201058,114.68589083419154,114.68589083419154,83.89553399913494,865.6973179982699,530.1151820017301,810.8666666666667,405265544748,0,2.113827087214612,67.88517884933289,0
16,16,2001-01-29,806.3,826.8,794.4,813.8,500964119,2791895047030,1.6465962152863085,793.02,704.7235294117647,704.7235294117647,102.62036266424555,115.4779095682078,115.4779095682078,85.95718068762325,876.6378907870112,532.8091680365183,804.8333333333334,0,403192621775,1.6110132253482519,61.70069188881179,0
17,17,2001-01-30,833.2,859.2,816.3,827.6,605491107,3346822807900,1.6674722087965284,809.4200000000001,711.55,711.55,102.24605272911467,116.30946525191486,116.30946525191486,88.27697221546181,888.1039444309235,534.9960555690764,825.6999999999999,499954007049,0,1.7496480904207814,63.631709691003806,0
18,18,2001-01-31,836.3,843.9,785.5,843.6,718875409,4026436003580,1.8966334755808438,823.7199999999999,718.5,718.5,102.41344146069054,117.41127348643006,117.41127348643006,90.981518269738,900.463036539476,536.536963460524,821.8000000000001,0,590771811116,1.2601423225927069,55.75499870057489,0
19,19,2001-02-01,824.2,861.7,816.6,827.0,555464734,3689042802490,-2.0072551390568347,822.4799999999999,723.925,723.925,100.5495574360471,114.23835342058916,114.23835342058916,91.81821213107654,907.561424262153,540.2885757378469,822.6,456925290188,0,1.3199798911481186,56.896178117082,0
20,20,2001-02-02,838.7,844.1,820.6,826.6,458178912,2801819474310,-0.04839099927413226,827.72,737.405,728.8142857142857,99.86468854201904,112.09579539059268,113.41709626203031,85.60161382517087,908.6082276503417,566.2017723496582,828.6333333333333,379662319113,0,1.7853830663786905,64.09829541686301,0
21,21,2001-02-05,799.8,808.8,769.1,779.7,441361457,2326405134570,-6.015134025907397,820.9,747.94,731.1272727272727,94.98111828480937,104.24632991951226,106.64353924201731,76.23854115796509,900.4170823159302,595.4629176840699,782.8666666666668,0,345527172636,1.7578568768599365,63.73996024265812,0
22,22,2001-02-06,782.3,797.2,771.2,797.2,494424330,2655060187900,2.195183140993477,814.8199999999999,757.045,734.0,97.83755921553228,105.30417610577972,108.61035422343326,70.17123773500903,897.387475470018,616.7025245299819,783.5666666666666,387414424177,0,1.7731492619968183,63.93991431676686,0
23,23,2001-02-07,796.1,804.2,777.7,778.0,426885179,2523916038520,-2.4678663239074607,801.7,764.6850000000001,735.8333333333334,97.04378196332793,101.74123985693456,105.7304643261608,63.014060878672545,890.7131217573451,638.656878242655,783.9333333333334,334649521324,0,1.7472003089388433,63.59930520005407,0
24,24,2001-02-08,786.3,802.5,784.8,798.0,401548344,2347372740430,2.506265664160401,795.9,772.085,738.32,100.26385224274405,103.3564957226212,108.0832159497237,57.265175189408794,886.6153503788177,657.5546496211824,789.6999999999999,317102727256,0,1.668679075962351,62.52827816550439,0
25,25,2001-02-09,796.7,810.7,794.0,807.3,393409544,2301225298170,1.151988108509842,792.04,778.5400000000001,740.9730769230769,101.92667037018333,103.69409407352221,108.95132699724374,53.26155323149687,885.0631064629938,672.0168935370064,799.3333333333334,314465362170,0,2.2683664089313185,69.40367526519228,0
26,26,2001-02-12,803.7,832.6,803.0,831.1,469615734,2696641191340,2.8636746480568003,802.32,788.115,744.3111111111111,103.58709741748928,105.45415326443477,111.66029736669255,43.23965376705428,874.5943075341086,701.6356924658915,812.6,381609745448,0,3.1932076145577484,76.15190823062864,0
27,27,2001-02-13,851.4,853.5,833.2,840.8,560315602,3297786866510,1.1536631779257769,811.04,796.4,747.7571428571429,103.66936279345038,105.57508789552988,112.44292455533692,35.65491034316227,867.7098206863245,725.0901793136754,841.7999999999998,471673673763,0,3.2392907181227866,76.41114831485741,0
