,id,name,ticker,marketCap
0,,AJ네트웍스,095570,281401992950
1,,AK홀딩스,006840,286147317600
2,,BGF,027410,554200219890
3,,BGF리테일,282330,2653079571000
4,,BNK금융지주,138930,2868230164800
5,,BYC,001460,269521372500
6,,BYC우,001465,37261605000
7,,CJ,001040,2643436018800
8,,CJ CGV,079160,990102832150
9,,CJ4우(전환),00104K,326709377600
10,,CJ대한통운,000120,3079666440000
11,,CJ씨푸드,011150,137794514455
12,,CJ씨푸드1우,011155,7940000000
13,,CJ우,001045,133353157000
14,,CJ제일제당,097950,5765753238000
15,,CJ제일제당 우,097955,254203419500
16,,CS홀딩스,000590,70307953800
17,,DB,012030,210226759985
18,,DB금융투자,016610,302642753570
19,,DB손해보험,005830,3957720000000
20,,DB하이텍,000990,3241096924000
21,,DB하이텍1우,000995,11905496000
22,,DGB금융지주,139130,1640714580100
23,,DI동일,001530,738132570000
24,,DL,000210,1280404512400
25,,DL건설,001880,606465310000
26,,DL우,000215,63566535500
27,,DL이앤씨,375500,2323048560000
28,,DL이앤씨우,37550K,153045274000
29,,DRB동일,004840,102639500000
30,,DSR,155660,91840000000
31,,DSR제강,069730,71352000000
32,,E1,017940,338541000000
33,,ESR켄달스퀘어리츠,365550,942644220000
34,,F&F,383220,6841643595000
35,,F&F홀딩스,007700,1644759132350
36,,GKL,114090,822680411000
37,,GS,078930,3763072809000
38,,GS건설,006360,3380468855000
39,,GS글로벌,001250,203445728260
40,,GS리테일,007070,3361445296200
41,,GS우,078935,65235390300
42,,HDC,012630,612352640250
43,,HDC아이콘트롤스,039570,197520000000
44,,HDC현대EP,089470,196823000000
45,,HDC현대산업개발,294870,1538936155500
46,,HMM,011200,12225987400000
47,,HSD엔진,082740,369565055860
48,,IHQ,003560,250063129080
49,,JB금융지주,175330,1688143401580
50,,JW생명과학,234080,225642394500
51,,JW중외제약,001060,502957272100
52,,JW중외제약2우B,001067,5507257600
53,,JW중외제약우,001065,5999026800
54,,JW홀딩스,096760,244335019740
55,,KB금융,105560,23950536192000
56,,KCC,002380,2710373655000
57,,KCC글라스,344820,911916235200
58,,KCTC,009070,180000000000
59,,KC그린홀딩스,009440,107575729100
60,,KC코트렐,119650,116864000000
61,,KEC,092220,508347936600
62,,KG동부제철,016380,1085096532450
63,,KG동부제철우,016385,5253084000
64,,KG케미칼,001390,457581168000
65,,KH 필룩스,033180,395150462960
66,,KISCO홀딩스,001940,299317356000
67,,KPX케미칼,025000,264748000000
68,,KPX홀딩스,092230,279671565200
69,,KR모터스,000040,90561400656
70,,KSS해운,044450,270115502000
71,,KT,030200,8068354867200
72,,KT&G,033780,11628674495900
73,,KTB투자증권,030210,381788202360
74,,KTcs,058850,110127300000
75,,KTis,058860,87527030000
76,,LF,093050,542402000000
77,,LG,003550,13606535894500
78,,LG디스플레이,034220,7961399325000
