id,ticker,name,marketCap
0,005930,삼성전자,4465397
1,000660,SK하이닉스,869962
2,035420,NAVER,648840
3,005935,삼성전자우,563677
4,207940,삼성바이오로직스,561740
5,035720,카카오,554894
6,051910,LG화학,527324
7,006400,삼성SDI,501981
8,005380,현대차,452976
9,000270,기아,338073
10,323410,카카오뱅크,307389
11,068270,셀트리온,291068
12,259960,크래프톤,249188
13,005490,POSCO,244559
14,105560,KB금융,239505
15,377300,카카오페이,238571
16,012330,현대모비스,230347
17,017670,SK텔레콤,223026
18,028260,삼성물산,214920
19,066570,LG전자,210287
20,096770,SK이노베이션,202499
21,055550,신한지주,195016
22,302440,SK바이오사이언스,190102
23,034730,SK,183288
24,051900,LG생활건강,181639
25,036570,엔씨소프트,155873
26,352820,하이브,150736
27,015760,한국전력,143157
28,003550,LG,136065
29,009150,삼성전기,132581
30,032830,삼성생명,132000
31,091990,셀트리온헬스케어,131464
32,086790,하나금융지주,130455
33,034020,두산중공업,124668
34,011200,HMM,122259
35,018260,삼성에스디에스,119935
36,247540,에코프로비엠,119855
37,003670,포스코케미칼,118131
38,033780,KT&G,116286
39,361610,SK아이이테크놀로지,113719
40,251270,넷마블,104863
41,000810,삼성화재,102803
42,090430,아모레퍼시픽,101777
43,010950,S-Oil,100423
44,329180,현대중공업,99869
45,003490,대한항공,99650
46,316140,우리금융지주,98288
47,010130,고려아연,94727
48,263750,펄어비스,87213
49,024110,기업은행,84105
50,066970,엘앤에프,83857
51,030200,KT,80683
52,034220,LG디스플레이,79613
53,326030,SK바이오팜,77921
54,011790,SKC,74221
55,011170,롯데케미칼,72149
56,293490,카카오게임즈,71930
57,018880,한온시스템,71796
58,011070,LG이노텍,68871
59,383220,F&F,68416
60,009540,한국조선해양,68083
61,009830,한화솔루션,67616
62,112040,위메이드,67144
63,032640,LG유플러스,60907
64,020150,일진머티리얼즈,60635
65,086280,현대글로비스,59812
66,006800,미래에셋증권,58322
67,097950,CJ제일제당,57657
68,088980,맥쿼리인프라,57488
69,021240,코웨이,54759
70,004020,현대제철,54712
71,000720,현대건설,53562
72,137310,에스디바이오센서,53288
73,035250,강원랜드,52843
74,161390,한국타이어앤테크놀로지,50417
75,011780,금호석유,49052
76,010140,삼성중공업,48928
77,138040,메리츠금융지주,48646
78,071050,한국금융지주,46586
79,028050,삼성엔지니어링,45864
80,267250,현대중공업지주,45263
81,068760,셀트리온제약,44628
82,139480,이마트,44461
83,036490,SK머티리얼즈,43245
84,016360,삼성증권,41971
85,271560,오리온,41908
86,000100,유한양행,41773
87,028300,에이치엘비,41151
88,005830,DB손해보험,39577
89,029780,삼성카드,39507
90,003410,쌍용C&E,39049
91,005940,NH투자증권,38911
92,241560,두산밥캣,38194
93,002790,아모레G,38095
94,078930,GS,37630
95,000060,메리츠화재,37092
96,005387,현대차2우B,36667
97,008930,한미사이언스,36613
98,180640,한진칼,36239
99,014680,한솔케미칼,35932
100,052690,한전기술,35735
101,026960,동서,35493
102,036460,한국가스공사,35309
103,035760,CJ ENM,35284
104,008560,메리츠증권,35177
105,278280,천보,34810
106,006360,GS건설,33804
107,004990,롯데지주,33675
108,007070,GS리테일,33614
109,336260,두산퓨얼셀,33205
110,086520,에코프로,33134
111,096530,씨젠,32745
112,128940,한미약품,32430
113,000990,DB하이텍,32410
114,336370,솔루스첨단소재,31660
115,307950,현대오토에버,31263
116,058470,리노공업,31048
117,008770,호텔신라,30849
118,000120,CJ대한통운,30796
